UNIQUE_ID,user,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,class
48,17,0.15,0.24,0.1,0.08,0.11,0.09,0.08,0.03,0.08,0.06,0.1,0.07,0.07,0.09,0.07,0.26,0.08,0.09,0.1,0.1,0.07,0.11,0.06,0.08,0.11,0.15,0.17,0.07,0.12,0.08,0,9.92,-0.06,1100.0,1000.0,1500.0,2.04,2.4,1.6,2.8,3.2,2.8,10.53,Walking
49,17,0.08,0.05,0.1,0.1,0.13,0.14,0.1,0.11,0.1,0.11,0.12,0.07,0.11,0.13,0.07,0.07,0.13,0.12,0.13,0.07,0.08,0.07,0.09,0.12,0.1,0.13,0.09,0.14,0.1,0.1,0,9.71,-0.06,2183.33,2012.5,2516.67,2.98,2.82,1.74,3.51,3.35,3.51,10.55,Walking
50,17,0.1,0.09,0.11,0.08,0.1,0.14,0.08,0.11,0.13,0.09,0.12,0.11,0.12,0.07,0.12,0.07,0.07,0.12,0.12,0.11,0.12,0.09,0.11,0.1,0.11,0.1,0.1,0.1,0.08,0.11,0,9.69,-0.28,2325.0,1462.5,725.0,2.96,2.94,1.82,3.58,3.52,3.58,10.61,Walking
51,17,0.12,0.11,0.08,0.08,0.11,0.1,0.15,0.09,0.07,0.12,0.12,0.12,0.1,0.11,0.07,0.11,0.1,0.09,0.1,0.1,0.11,0.13,0.08,0.06,0.11,0.1,0.12,0.11,0.1,0.1,0,9.63,-0.15,2016.67,1250.0,857.14,2.84,2.83,1.92,3.53,3.44,3.53,10.56,Walking
52,17,0.13,0.12,0.05,0.1,0.09,0.09,0.12,0.11,0.11,0.09,0.12,0.07,0.14,0.11,0.08,0.07,0.12,0.09,0.12,0.11,0.12,0.13,0.09,0.11,0.13,0.07,0.09,0.09,0.1,0.11,0,9.75,-0.29,3200.0,642.31,1280.0,2.85,2.83,1.89,3.51,3.38,3.51,10.65,Walking
53,17,0.13,0.09,0.1,0.08,0.11,0.08,0.11,0.1,0.1,0.11,0.1,0.1,0.08,0.14,0.08,0.13,0.09,0.12,0.09,0.09,0.1,0.1,0.11,0.12,0.1,0.1,0.07,0.1,0.11,0.11,0,9.67,-0.09,1112.5,1056.25,2116.67,2.85,2.64,1.93,3.52,3.26,3.52,10.59,Walking
54,17,0.14,0.08,0.08,0.14,0.1,0.08,0.09,0.08,0.12,0.11,0.1,0.12,0.09,0.1,0.11,0.07,0.11,0.1,0.11,0.11,0.11,0.13,0.07,0.14,0.07,0.08,0.09,0.13,0.09,0.11,0,9.7,-0.22,1616.67,911.11,1525.0,2.79,2.79,1.86,3.5,3.38,3.5,10.61,Walking
55,17,0.12,0.1,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.1,0.08,0.12,0.12,0.07,0.12,0.11,0.09,0.12,0.08,0.12,0.11,0.1,0.12,0.13,0.12,0.09,0.06,0.11,0.09,0.1,0,9.76,-0.21,2833.33,745.0,2250.0,2.82,2.68,1.85,3.52,3.27,3.52,10.65,Walking
56,17,0.09,0.09,0.11,0.13,0.08,0.1,0.11,0.1,0.13,0.09,0.08,0.13,0.1,0.11,0.09,0.1,0.12,0.08,0.08,0.13,0.1,0.11,0.09,0.11,0.11,0.1,0.09,0.11,0.11,0.09,0,9.79,-0.21,1156.25,762.5,1000.0,2.86,2.79,1.8,3.49,3.4,3.49,10.66,Walking
57,17,0.11,0.09,0.1,0.12,0.1,0.07,0.1,0.08,0.12,0.12,0.11,0.09,0.08,0.11,0.11,0.09,0.14,0.1,0.09,0.1,0.08,0.11,0.13,0.13,0.09,0.1,0.08,0.11,0.09,0.11,0,9.7,-0.11,805.56,1800.0,1285.71,2.87,2.71,1.9,3.56,3.3,3.56,10.61,Walking
58,17,0.06,0.09,0.12,0.09,0.14,0.12,0.12,0.12,0.05,0.11,0.09,0.1,0.1,0.12,0.11,0.07,0.13,0.1,0.13,0.08,0.1,0.07,0.13,0.08,0.1,0.13,0.08,0.13,0.11,0.1,0,9.74,-0.02,1683.33,1221.43,2250.0,2.81,2.63,1.87,3.38,3.16,3.38,10.59,Walking
59,17,0.05,0.09,0.13,0.09,0.1,0.09,0.13,0.11,0.13,0.1,0.09,0.13,0.11,0.13,0.09,0.11,0.06,0.09,0.13,0.08,0.1,0.12,0.08,0.09,0.07,0.15,0.09,0.12,0.1,0.11,0,9.58,-0.13,2337.5,1900.0,1500.0,2.96,2.66,1.79,3.51,3.22,3.51,10.46,Walking
60,17,0.06,0.1,0.08,0.12,0.11,0.14,0.09,0.09,0.11,0.12,0.11,0.09,0.09,0.12,0.12,0.06,0.11,0.1,0.08,0.13,0.1,0.09,0.12,0.1,0.09,0.14,0.09,0.09,0.1,0.1,0,9.76,-0.12,1290.0,1380.0,2725.0,2.97,2.77,1.87,3.58,3.37,3.58,10.69,Walking
