UNIQUE_ID,user,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,class
327,29,0.18,0.13,0.1,0.12,0.05,0.08,0.11,0.1,0.09,0.07,0.1,0.09,0.04,0.11,0.1,0.1,0.11,0.13,0.11,0.12,0.16,0.17,0.08,0.08,0.05,0.06,0.12,0.13,0.09,0.09,0,9.42,-1.29,1400.0,675.0,3700.0,5.03,3.28,2.9,6.22,4.29,6.22,11.83,Walking
328,29,0.12,0.11,0.1,0.12,0.1,0.1,0.08,0.12,0.09,0.09,0.1,0.08,0.1,0.11,0.11,0.11,0.1,0.1,0.08,0.13,0.19,0.12,0.11,0.06,0.07,0.08,0.09,0.08,0.15,0.07,0,9.08,-1.45,2350.0,696.43,3525.0,5.57,3.21,2.9,6.71,4.28,6.71,11.82,Walking
329,29,0.13,0.1,0.09,0.07,0.1,0.12,0.1,0.1,0.08,0.13,0.13,0.07,0.13,0.1,0.06,0.1,0.11,0.09,0.16,0.07,0.11,0.17,0.09,0.11,0.09,0.04,0.06,0.11,0.14,0.09,0,8.74,-1.14,1550.0,1037.5,1383.33,5.84,3.24,3.07,7.05,4.24,7.05,11.76,Walking
330,29,0.12,0.11,0.07,0.08,0.16,0.08,0.11,0.09,0.09,0.12,0.11,0.11,0.08,0.09,0.11,0.09,0.09,0.1,0.12,0.12,0.13,0.09,0.07,0.13,0.12,0.06,0.08,0.12,0.13,0.09,0,8.98,-1.08,2650.0,1350.0,2833.33,5.74,3.28,2.95,6.86,4.29,6.86,11.74,Walking
331,29,0.13,0.08,0.1,0.11,0.11,0.13,0.09,0.11,0.07,0.1,0.06,0.16,0.11,0.08,0.09,0.13,0.1,0.11,0.09,0.1,0.13,0.07,0.12,0.08,0.04,0.13,0.13,0.16,0.11,0.07,0,8.95,-1.08,3725.0,931.25,2483.33,5.59,3.0,2.67,6.77,3.98,6.77,11.53,Walking
332,29,0.12,0.08,0.14,0.08,0.09,0.07,0.16,0.07,0.13,0.08,0.06,0.16,0.1,0.06,0.12,0.09,0.13,0.08,0.12,0.11,0.17,0.06,0.09,0.11,0.04,0.08,0.21,0.13,0.08,0.07,0,9.12,-1.26,2500.0,1600.0,3225.0,5.54,3.16,2.59,6.64,4.11,6.64,11.67,Walking
333,29,0.1,0.12,0.09,0.09,0.1,0.11,0.11,0.15,0.08,0.08,0.1,0.14,0.07,0.11,0.11,0.06,0.11,0.12,0.09,0.1,0.11,0.09,0.07,0.14,0.08,0.1,0.12,0.12,0.1,0.1,0,8.75,-1.11,2400.0,1650.0,3600.0,5.6,3.19,2.55,6.64,4.16,6.64,11.41,Walking
334,29,0.1,0.13,0.1,0.07,0.12,0.1,0.08,0.13,0.11,0.09,0.16,0.12,0.09,0.07,0.05,0.08,0.11,0.11,0.13,0.11,0.14,0.13,0.08,0.1,0.13,0.08,0.09,0.05,0.1,0.12,0,8.74,-1.11,2600.0,928.57,3575.0,5.73,3.46,3.03,6.84,4.37,6.84,11.68,Walking
335,29,0.05,0.13,0.06,0.09,0.1,0.18,0.08,0.13,0.09,0.1,0.1,0.13,0.12,0.09,0.04,0.1,0.13,0.12,0.09,0.1,0.04,0.1,0.1,0.18,0.11,0.14,0.07,0.07,0.09,0.13,0,8.75,-0.92,2200.0,1143.75,1325.0,5.89,3.04,2.78,6.92,3.98,6.92,11.58,Walking
336,29,0.09,0.09,0.11,0.13,0.07,0.07,0.14,0.08,0.1,0.14,0.12,0.12,0.12,0.08,0.07,0.1,0.11,0.08,0.1,0.12,0.09,0.11,0.06,0.11,0.1,0.11,0.12,0.09,0.12,0.11,0,8.84,-0.74,2050.0,1044.44,2575.0,5.93,3.42,3.04,7.07,4.43,7.07,11.86,Walking
